data1,data2,data3,data4,data5,data6
1 BR,1 BA,$774 , 824,700 Sq Ft,A2--townhome
1 BR,1 BA,$794 , 844,750 Sq Ft,A3--large bedr.
2 BRs,2 BAs,$945 , 985,950 Sq Ft,B1--2 bedroom
Folio West
1 BR,1 BA,"$1,060 "," 1,125",660 Sq Ft,A1
1 BR,1 BA,"$1,060",,660 Sq Ft,A1
1 BR,1 BA,"$1,135 "," 1,185",747 - 827 Sq Ft,A2
1 BR,1 BA,"$1,185",,770 Sq Ft,A2
1 BR,1 BA,"$1,160 "," 1,349",789 - 910 Sq Ft,A3
1 BR,1 BA,"$1,309",,881 Sq Ft,A3
1 BR,1 BA,"$1,349",,840 Sq Ft,A3
1 BR,1 BA,"$1,260 "," 1,350",930 - 969 Sq Ft,A4
1 BR,1 BA,"$1,335",,969 Sq Ft,A4
1 BR,1 BA,"$1,579",,"1,053 Sq Ft",A5
1 BR,1 BA,"$1,579",,"1,053 Sq Ft",A5
2 BRs,2 BAs,"$1,410 "," 1,505","1,088 - 1,105 Sq Ft",B2
2 BRs,2 BAs,"$1,505",,"1,105 Sq Ft",B2
2 BRs,2 BAs,"$1,414",,"1,094 Sq Ft",B1
2 BRs,2 BAs,"$1,414",,"1,094 Sq Ft",B1
2 BRs,2 BAs,"$1,875",,"1,292 Sq Ft",B5 TH
2 BRs,2 BAs,"$1,875",,"1,292 Sq Ft",B5 TH
2 BRs,2 BAs,"$1,890",,"1,208 Sq Ft",B4 TH
2 BRs,2 BAs,"$1,890",,"1,208 Sq Ft",B4 TH
1 BR,1 BA,"$1,325",,930 Sq Ft,A4
2 BRs,2 BAs,"$1,410",,"1,088 Sq Ft",B2
1 BR,1 BA,"$1,350",,930 Sq Ft,A4
1 BR,1 BA,"$1,135",,750 Sq Ft,A2
1 BR,1 BA,"$1,160",,855 Sq Ft,A3
2 BRs,2 BAs,"$1,470",,"1,088 Sq Ft",B2
1 BR,1 BA,"$1,125",,660 Sq Ft,A1
1 BR,1 BA,"$1,135",,750 Sq Ft,A2
2 BRs,2 BAs,"$1,635",,"1,337 - 1,476 Sq Ft",B3
3 BRs,3 BAs,"$2,315",,"1,684 Sq Ft",C1
3 BRs,3 BAs,"$2,465",,"1,860 Sq Ft",C1b
3 BRs,3 BAs,"$2,475",,"1,874 Sq Ft",C1a
Waverly Apartments
1 BR,1 BA,$645 , 923,690 Sq Ft,B - 1-1
1 BR,1 BA,$645 , 820,690 Sq Ft,B - 1-1
1 BR,1 BA,$665 , 841,690 Sq Ft,B - 1-1
1 BR,1 BA,$675 , 851,690 Sq Ft,B - 1-1
1 BR,1 BA,$695 , 871,690 Sq Ft,B - 1-1
1 BR,1 BA,$695 , 871,690 Sq Ft,B - 1-1
1 BR,1 BA,$695 , 871,690 Sq Ft,B - 1-1
1 BR,1 BA,$745 , 923,690 Sq Ft,B - 1-1
1 BR,1 BA,$745 , 923,690 Sq Ft,B - 1-1
1 BR,1 BA,$685 , 968,730 Sq Ft,C - 1-1
1 BR,1 BA,$705 , 882,730 Sq Ft,C - 1-1
1 BR,1 BA,$705 , 882,730 Sq Ft,C - 1-1
1 BR,1 BA,$785 , 964,730 Sq Ft,C - 1-1
2 BRs,1 BA,$760 ," 1,202",900 Sq Ft,D - 2-1
2 BRs,1 BA,$780 ," 1,108",900 Sq Ft,D - 2-1
2 BRs,1 BA,$780 ," 1,108",900 Sq Ft,D - 2-1
2 BRs,1 BA,$850 ," 1,181",900 Sq Ft,D - 2-1
2 BRs,1 BA,$870 ," 1,202",900 Sq Ft,D - 2-1
2 BRs,1 BA,$760 ," 1,088",900 Sq Ft,D - 2-1
2 BRs,2 BRs,1 BA,,7107    900 Sq Ft,D - 2-1
1 BR,1 BA,$675 , 858,690 Sq Ft,B - 1-1
1 BR,1 BA,$715 , 899,730 Sq Ft,C - 1-1
2 BRs,2 BAs,$920 ," 1,512","1,040 Sq Ft",E - 2-2
2 BRs,2 BAs,$920 ," 1,494","1,040 Sq Ft",E - 2-2
1 BR,1 BA,$645 , 829,690 Sq Ft,B - 1-1
1 BR,1 BA,$675 , 861,690 Sq Ft,B - 1-1
1 BR,1 BA,$675 , 861,690 Sq Ft,B - 1-1
1 BR,1 BA,$695 , 881,690 Sq Ft,B - 1-1
1 BR,1 BA,$695 , 881,690 Sq Ft,B - 1-1
1 BR,1 BA,$655 ," 1,275",475 Sq Ft,A - Eff.
1 BR,1 BA,$655 ," 1,254",475 Sq Ft,A - Eff.
1 BR,1 BA,$675 ," 1,275",475 Sq Ft,A - Eff.
1 BR,1 BA,$685 , 871,730 Sq Ft,C - 1-1
2 BRs,1 BA,$760 ," 1,095",900 Sq Ft,D - 2-1
2 BRs,1 BA,$790 ," 1,126",900 Sq Ft,D - 2-1
2 BRs,2 BAs,$970 ," 1,512","1,040 Sq Ft",E - 2-2
3 BRs,2 BAs,"$1,155 "," 1,708","1,150 Sq Ft",F - 3-2
3 BRs,2 BAs,"$1,155 "," 1,708","1,150 Sq Ft",F - 3-2
1 BR,1 BA,$695 , 923,690 Sq Ft,B - 1-1
1 BR,1 BA,$675 , 905,690 Sq Ft,B - 1-1
1 BR,1 BA,$735 , 968,730 Sq Ft,C - 1-1
2 BRs,1 BA,$760 ," 1,131",900 Sq Ft,D - 2-1
2 BRs,1 BA,$790 ," 1,163",900 Sq Ft,D - 2-1
2 BRs,2 BAs,$920 ," 1,478","1,040 Sq Ft",E - 2-2
1 BR,1 BA,$745 , 899,690 Sq Ft,B - 1-1
2 BRs,1 BA,$770 , 901,900 Sq Ft,D - 2-1
